Player_A,Player_B,WinRate_A,WinRate_B,DrawRate,StdDev_A,StdDev_B,Points_A,Points_B,Match_Result
gpt_v3,claude_v6,0.3528,0.3243,0.3229,0.013,0.0123,3,0,gpt_v3 Win
gpt_v3,claude_v7,0.3672,0.3384,0.2944,0.014,0.0083,3,0,gpt_v3 Win
gpt_v4,gpt_v5,0.3609,0.3494,0.2897,0.0127,0.0109,3,0,gpt_v4 Win
gpt_v4,gpt_v6,0.3226,0.3573,0.3201,0.0141,0.0141,0,3,gpt_v6 Win
gpt_v4,gpt_v7,0.3362,0.3408,0.323,0.0183,0.0171,1,1,Draw
gpt_v4,gemini_v1,0.3905,0.3184,0.2911,0.0157,0.0118,3,0,gpt_v4 Win
gpt_v4,gemini_v2,0.368,0.3247,0.3073,0.0123,0.0114,3,0,gpt_v4 Win
gpt_v4,gemini_v3,0.3243,0.3653,0.3104,0.014,0.0159,0,3,gemini_v3 Win
gpt_v4,gemini_v4,0.3316,0.3401,0.3284,0.0143,0.0164,1,1,Draw
gpt_v4,gemini_v5,0.3777,0.3457,0.2767,0.0125,0.0139,3,0,gpt_v4 Win
gpt_v4,gemini_v6,0.3208,0.365,0.3141,0.0136,0.013,0,3,gemini_v6 Win
gpt_v4,gemini_v7,0.3322,0.3648,0.303,0.014,0.0174,0,3,gemini_v7 Win
gpt_v4,claude_v6,0.3492,0.3323,0.3185,0.0111,0.0147,3,0,gpt_v4 Win
gpt_v4,claude_v7,0.375,0.3482,0.2768,0.0127,0.0123,3,0,gpt_v4 Win
gpt_v5,gpt_v6,0.3155,0.3662,0.3182,0.0139,0.0144,0,3,gpt_v6 Win
gpt_v5,gpt_v7,0.3391,0.3352,0.3257,0.0216,0.0163,1,1,Draw
gpt_v5,gemini_v1,0.3482,0.3455,0.3062,0.0167,0.0204,1,1,Draw
gpt_v5,gemini_v2,0.3402,0.3509,0.3089,0.0165,0.0158,0,3,gemini_v2 Win
gpt_v5,gemini_v3,0.3183,0.38,0.3017,0.0164,0.0115,0,3,gemini_v3 Win
gpt_v5,gemini_v4,0.3251,0.3437,0.3312,0.0145,0.016,0,3,gemini_v4 Win
gpt_v5,gemini_v5,0.3605,0.3679,0.2716,0.0122,0.0108,1,1,Draw
gpt_v5,gemini_v6,0.3138,0.3736,0.3126,0.0149,0.0143,0,3,gemini_v6 Win
gpt_v5,gemini_v7,0.3185,0.3976,0.2838,0.0128,0.0146,0,3,gemini_v7 Win
gpt_v5,claude_v6,0.3486,0.3353,0.3161,0.0179,0.0173,3,0,gpt_v5 Win
gpt_v5,claude_v7,0.3674,0.3575,0.2751,0.0154,0.0131,1,1,Draw
gpt_v6,gpt_v7,0.3295,0.341,0.3295,0.0141,0.0125,0,3,gpt_v7 Win
gpt_v6,gemini_v1,0.3358,0.3283,0.3359,0.0131,0.0146,1,1,Draw
gpt_v6,gemini_v2,0.3522,0.3175,0.3303,0.0165,0.0163,3,0,gpt_v6 Win
gpt_v6,gemini_v3,0.9862,0.0073,0.0065,0.0034,0.0022,3,0,gpt_v6 Win
gpt_v6,gemini_v4,0.8329,0.0836,0.0835,0.0108,0.0094,3,0,gpt_v6 Win
gpt_v6,gemini_v5,0.612,0.1892,0.1988,0.0139,0.014,3,0,gpt_v6 Win
gpt_v6,gemini_v6,0.3806,0.31,0.3094,0.0191,0.0154,3,0,gpt_v6 Win
gpt_v6,gemini_v7,0.3487,0.3326,0.3187,0.0159,0.0164,3,0,gpt_v6 Win
gpt_v6,claude_v6,0.3525,0.3244,0.3231,0.0156,0.0168,3,0,gpt_v6 Win
gpt_v6,claude_v7,0.3519,0.3113,0.3368,0.0157,0.015,3,0,gpt_v6 Win
gpt_v7,gemini_v1,0.339,0.3331,0.3279,0.0158,0.0156,1,1,Draw
gpt_v7,gemini_v2,0.3565,0.3252,0.3183,0.0152,0.0119,3,0,gpt_v7 Win
gpt_v7,gemini_v3,0.395,0.305,0.3,0.0594,0.0362,3,0,gpt_v7 Win
gpt_v7,gemini_v4,0.3398,0.3282,0.332,0.0117,0.0161,3,0,gpt_v7 Win
gpt_v7,gemini_v5,0.3343,0.3429,0.3227,0.0175,0.0227,1,1,Draw
gpt_v7,gemini_v6,0.9994,0.0,0.0006,0.0005,0.0,3,0,gpt_v7 Win
gpt_v7,gemini_v7,0.3507,0.3251,0.3243,0.0111,0.0174,3,0,gpt_v7 Win
gpt_v7,claude_v6,0.9996,0.0,0.0004,0.0005,0.0,3,0,gpt_v7 Win
gpt_v7,claude_v7,0.3353,0.3247,0.34,0.0205,0.0205,3,0,gpt_v7 Win
gemini_v1,gemini_v2,0.3461,0.3515,0.3024,0.0168,0.0104,1,1,Draw
gemini_v1,gemini_v3,0.3147,0.3802,0.3051,0.0144,0.0169,0,3,gemini_v3 Win
gemini_v1,gemini_v4,0.3354,0.3356,0.329,0.0157,0.0164,1,1,Draw
gemini_v1,gemini_v5,0.3622,0.365,0.2728,0.0128,0.0132,1,1,Draw
gemini_v1,gemini_v6,0.3106,0.3871,0.3023,0.0116,0.0166,0,3,gemini_v6 Win
gemini_v1,gemini_v7,0.3694,0.3303,0.3003,0.0134,0.0131,3,0,gemini_v1 Win
gemini_v1,claude_v6,0.3653,0.3344,0.3003,0.0138,0.0174,3,0,gemini_v1 Win
gemini_v1,claude_v7,0.3583,0.3585,0.2832,0.0129,0.0143,1,1,Draw
gemini_v2,gemini_v3,0.3095,0.3872,0.3033,0.0142,0.0116,0,3,gemini_v3 Win
gemini_v2,gemini_v4,0.3279,0.3446,0.3275,0.0136,0.0114,0,3,gemini_v4 Win
gemini_v2,gemini_v5,0.3488,0.3608,0.2904,0.0156,0.0121,0,3,gemini_v5 Win
gemini_v2,gemini_v6,0.3145,0.3744,0.3112,0.0088,0.0148,0,3,gemini_v6 Win
gemini_v2,gemini_v7,0.3218,0.3715,0.3067,0.0114,0.0107,0,3,gemini_v7 Win
gemini_v2,claude_v6,0.3556,0.3377,0.3067,0.0114,0.014,3,0,gemini_v2 Win
gemini_v2,claude_v7,0.3533,0.3594,0.2873,0.0149,0.0165,1,1,Draw
gemini_v3,gemini_v4,0.3326,0.3313,0.3361,0.0146,0.0136,1,1,Draw
gemini_v3,gemini_v5,0.3863,0.3169,0.2968,0.0151,0.0109,3,0,gemini_v3 Win
gemini_v3,gemini_v6,0.3474,0.337,0.3156,0.0147,0.0127,3,0,gemini_v3 Win
gemini_v3,gemini_v7,0.347,0.3294,0.3236,0.0101,0.0161,3,0,gemini_v3 Win
gemini_v3,claude_v6,0.366,0.3259,0.3081,0.016,0.0152,3,0,gemini_v3 Win
gemini_v3,claude_v7,0.3598,0.3301,0.3101,0.0134,0.0138,3,0,gemini_v3 Win
gemini_v4,gemini_v5,0.3468,0.3275,0.3257,0.0152,0.0127,3,0,gemini_v4 Win
gemini_v4,gemini_v6,0.3383,0.3313,0.3304,0.0183,0.0161,1,1,Draw
gemini_v4,gemini_v7,0.3336,0.3316,0.3348,0.0127,0.0148,1,1,Draw
gemini_v4,claude_v6,0.3382,0.3324,0.3295,0.0144,0.0163,1,1,Draw
gemini_v4,claude_v7,0.3381,0.3327,0.3293,0.011,0.0098,1,1,Draw
gemini_v5,gemini_v6,0.3168,0.3892,0.294,0.0119,0.0163,0,3,gemini_v6 Win
gemini_v5,gemini_v7,0.3489,0.3551,0.296,0.0157,0.0161,1,1,Draw
gemini_v5,claude_v6,0.3623,0.3454,0.2923,0.0155,0.0164,3,0,gemini_v5 Win
gemini_v5,claude_v7,0.3736,0.3619,0.2645,0.0143,0.0164,3,0,gemini_v5 Win
gemini_v6,gemini_v7,0.3429,0.3365,0.3206,0.0161,0.0137,1,1,Draw
gemini_v6,claude_v6,0.3596,0.3252,0.3152,0.0131,0.0102,3,0,gemini_v6 Win
gemini_v6,claude_v7,0.3586,0.3228,0.3186,0.0156,0.0139,3,0,gemini_v6 Win
gemini_v7,claude_v6,0.3774,0.326,0.2966,0.0144,0.014,3,0,gemini_v7 Win
gemini_v7,claude_v7,0.3425,0.3509,0.3066,0.0119,0.0129,1,1,Draw
claude_v6,claude_v7,0.3521,0.3575,0.2904,0.0193,0.0161,1,1,Draw
